"a","b","tBCB","r_MDA","minref","freq1","lam1","maxtrans","freq2","lam2"
0.9,0.655,0.607,0.72889,0.33025,47.82,6.2735,0.78705,47.78,6.2788
0.038,0.334,0.632,0.73944,0.1767,47.92,6.2604,0.81915,47.86,6.2683
0.24,0.301,0.769,0.71222,0.38393,47.86,6.2683,0.77024,47.82,6.2735
0.152,0.249,0.357,0.63278,0.21867,47.48,6.3184,0.83336,47.42,6.3264
0.023,0.137,0.348,0.71667,0.037508,47.3,6.3425,0.8535,47.24,6.3506
0.837,0.761,0.169,0.72667,0.54792,47.7,6.2893,0.7077,47.68,6.2919
0.397,0.2,0.738,0.65944,0.28813,47.84,6.2709,0.80349,47.78,6.2788
0.698,0.218,0.863,0.61722,0.41234,47.82,6.2735,0.76571,47.76,6.2814
0.528,0.464,0.462,0.68444,0.19035,47.68,6.2919,0.83287,47.62,6.2999
0.406,0.299,0.541,0.72389,0.086436,47.82,6.2735,0.83639,47.74,6.284
0.025,0.161,0.78,0.72389,0.3984,47.88,6.2657,0.7644,47.84,6.2709
0.442,0.705,0.151,0.72722,0.42421,47.66,6.2946,0.75908,47.62,6.2999
0.269,0.402,0.887,0.635,0.42515,47.82,6.2735,0.75974,47.78,6.2788
0.711,0.18,0.573,0.75556,0.23905,47.88,6.2657,0.80738,47.82,6.2735
0.119,0.736,0.437,0.61167,0.29537,47.62,6.2999,0.81238,47.58,6.3052
0.229,0.262,0.533,0.64,0.13331,47.66,6.2946,0.84163,47.6,6.3025
0.368,0.132,0.494,0.61667,0.20887,47.62,6.2999,0.83297,47.56,6.3078
0.045,0.684,0.345,0.62667,0.32844,47.58,6.3052,0.80233,47.54,6.3105
0.693,0.7,0.315,0.63167,0.48298,47.66,6.2946,0.74436,47.62,6.2999
0.317,0.698,0.559,0.74222,0.1493,47.86,6.2683,0.82529,47.8,6.2762
0.39,0.087,0.416,0.77778,0.12059,47.76,6.2814,0.83661,47.66,6.2946
0.418,0.081,0.126,0.65778,0.42834,47.44,6.3238,0.76342,47.42,6.3264
0.534,0.254,0.855,0.64944,0.42909,47.82,6.2735,0.75737,47.78,6.2788
0.305,0.462,0.272,0.71056,0.19569,47.48,6.3184,0.83304,47.44,6.3238
0.081,0.667,0.284,0.66944,0.29557,47.56,6.3078,0.81059,47.52,6.3131
0.702,0.124,0.212,0.71889,0.3759,47.6,6.3025,0.79046,47.56,6.3078
0.561,0.539,0.608,0.62667,0.26375,47.72,6.2867,0.81635,47.68,6.2919
0.123,0.308,0.624,0.77556,0.23738,47.94,6.2578,0.80388,47.9,6.263
0.105,0.824,0.122,0.77222,0.24447,47.42,6.3264,0.79255,47.42,6.3264
0.725,0.408,0.642,0.72944,0.3304,47.84,6.2709,0.78647,47.8,6.2762
0.474,0.853,0.682,0.75111,0.41529,47.86,6.2683,0.75564,47.82,6.2735
0.078,0.29,0.427,0.73778,0.10917,47.62,6.2999,0.84304,47.52,6.3131
0.859,0.783,0.86,0.66,0.49252,47.82,6.2735,0.72908,47.78,6.2788
0.613,0.745,0.421,0.73778,0.186,47.72,6.2867,0.82891,47.66,6.2946
0.316,0.546,0.767,0.76833,0.52626,47.88,6.2657,0.7062,47.84,6.2709
0.079,0.46,0.453,0.65444,0.13769,47.6,6.3025,0.84256,47.54,6.3105
0.281,0.083,0.344,0.635,0.23808,47.48,6.3184,0.83044,47.44,6.3238
0.633,0.35,0.219,0.73333,0.33892,47.6,6.3025,0.79973,47.56,6.3078
0.22,0.772,0.563,0.70111,0.13882,47.8,6.2762,0.83298,47.74,6.284
0.671,0.68,0.794,0.74889,0.57684,47.8,6.2762,0.67843,47.76,6.2814
0.067,0.842,0.648,0.65611,0.21029,47.78,6.2788,0.82402,47.74,6.284
0.267,0.123,0.759,0.745,0.42741,47.88,6.2657,0.752,47.84,6.2709
0.703,0.617,0.163,0.77722,0.41381,47.68,6.2919,0.76781,47.66,6.2946
0.649,0.821,0.103,0.61222,0.62987,47.74,6.284,0.65765,47.72,6.2867
0.072,0.168,0.791,0.61833,0.28332,47.82,6.2735,0.807,47.76,6.2814
0.332,0.604,0.703,0.67167,0.28218,47.82,6.2735,0.80462,47.78,6.2788
0.225,0.51,0.239,0.62333,0.40367,47.6,6.3025,0.77428,47.56,6.3078
0.503,0.554,0.198,0.74111,0.32817,47.6,6.3025,0.79812,47.56,6.3078
0.685,0.703,0.531,0.61222,0.33498,47.68,6.2919,0.80009,47.64,6.2972
0.622,0.682,0.685,0.61444,0.3067,47.76,6.2814,0.80366,47.7,6.2893
